,0
0,RNFT
1,SBER
2,VTBR
3,MTLR
4,ROSN
5,UWGN
6,RUAL
7,SPBE
8,NVTK
9,GRNT
10,SGZH
11,SVET
12,TATN
13,GAZP
14,POLY
15,AFLT
16,BLNG
17,MAGN
18,PRFN
19,CHMF
20,ORUP
21,ALRS
22,MSTT
23,WUSH
24,TGKA
25,SIBN
26,AMEZ
27,KMAZ
28,MVID
29,RUGR
30,LIFE
31,BSPB
32,YNDX
33,NLMK
34,AFKS
35,IRAO
36,FLOT
37,KZOS
38,LKOH
39,KUZB
40,NKNC
41,PLZL
42,LSNG
43,TTLK
44,FEES
45,EELT
46,MOEX
47,ISKJ
48,CBOM
49,ENRU
50,MGNT
51,PIKK
52,SMLT
53,SNGS
54,ENPG
55,ROLO
56,MSNG
57,GMKN
58,NMTP
59,RTKM
60,UNAC
61,OGKB
62,MTSS
63,POSI
64,TGKB
65,SELG
66,PHOR
67,RASP
68,KLSB
69,MRKP
70,FESH
71,VRSB
72,LSRG
73,VEON-RX
74,ROST
75,MRKC
76,TRMK
77,CNTL
78,UPRO
79,DSKY
80,RENI
81,ODVA
82,ABRD
83,APTK
84,MRKK
85,KROT
86,HYDR
87,MRKZ
88,DVEC
89,MRKV
90,TGKN
91,GTRK
92,RGSS
93,MERF
94,NSVZ
95,IRKT
96,CHMK
97,MRKY
98,AQUA
99,USBN
100,KMEZ
101,BELU
102,BANE
103,ARSA
104,DIOD
105,RBCM
106,MGTS
107,VLHZ
108,SLEN
109,KMTZ
110,INGR
111,VJGZ
112,TUZA
113,VSMO
114,GCHE
115,CHGZ
116,ROSB
117,ELTZ
118,UKUZ
119,PMSB
120,AKRN
121,RUSI
122,UNKL
123,MSRS
124,RDRB
125,ZILL
126,LENT
127,LNZL
128,RKKE
129,SVAV
130,MRKS
131,NKHP
132,KAZT
133,AVAN
134,YAKG
135,NKSH
136,NAUK
137,LPSB
138,MAGE
139,UTAR
140,CHKZ
141,KUBE
142,MRKU
143,SFIN
144,LVHK
145,BRZL
146,NFAZ
147,JNOS
148,WTCM
149,KTSB
150,ASSB
151,IGST
152,KGKC
153,NNSB
154,RZSB
155,SARE
156,MFGS
157,PAZA
158,TNSE
159,TASB
160,GEMA
